@ 圖示
空氣 符文
箭頭 向下
箭頭 向左
箭頭 向左下
箭頭 向右
箭頭 向右上
箭頭 向上
倒退
樺木 0
樺木 1
樺木 10
樺木 11
樺木 12
樺木 13
樺木 14
樺木 15
樺木 16
樺木 17
樺木 18
樺木 19
樺木 2
樺木 20
樺木 21
樺木 22
樺木 23
樺木 24
樺木 25
樺木 3
樺木 4
樺木 5
樺木 6
樺木 7
樺木 8
樺木 9
樺木 A
樺木 &
樺木 、
樺木 水瓶座
樺木 牡羊座
樺木 箭頭向下
樺木 箭頭向左
樺木 箭頭向左下
樺木 箭頭向左上
樺木 箭頭向右
樺木 箭頭向右下
樺木 箭頭向右上
樺木 箭頭向上
樺木 B
樺木 ＼
樺木 倒退
樺木 倒退 II
樺木 空白
樺木 C
樺木 巨蟹座
樺木 摩羯座
樺木 ✓
樺木 ：
樺木 ，
樺木 ｝
樺木 ｛
樺木 D
樺木 ＄
樺木 E
樺木 ＝
樺木 ！
樺木 F
樺木 ♀️
樺木 向前
樺木 向前 II
樺木 G
樺木 雙子座
樺木 H
樺木 ❤
樺木 I
樺木 J
樺木 K
樺木 L
樺木 獅子座
樺木 天秤座
樺木 M
樺木 ♂
樺木 －
樺木 N
樺木 🎵
樺木 O
樺木 #
樺木 P
樺木 ％
樺木 。
樺木 雙魚座
樺木 ＋
樺木 Q
樺木 ？
樺木 ＂
樺木 R
樺木 向後 ！
樺木 向後 ？
樺木 ｝
樺木 （
樺木 S
樺木 射手座
樺木 天蠍座
樺木 ；
樺木 ／
樺木 ］
樺木 ［
樺木 T
樺木 金牛座
樺木 U
樺木 ＿
樺木 V
樺木 處女座
樺木 W
樺木 X
樺木 Y
樺木 Z
樺木 Ä
樺木 Ñ
樺木 Ö
樺木 Ü
樺木 Ё
樺木 Б
樺木 Г
樺木 Д
樺木 Ж
樺木 З
樺木 И
樺木 Й
樺木 Л
樺木 П
樺木 У
樺木 Ф
樺木 Ц
樺木 Ч
樺木 Ш
樺木 Щ
樺木 Ъ
樺木 Ы
樺木 Ь
樺木 Э
樺木 Ю
樺木 Я
黑 0
黑 1
黑 10
黑 11
黑 12
黑 13
黑 14
黑 15
黑 16
黑 17
黑 18
黑 19
黑 2
黑 20
黑 21
黑 22
黑 23
黑 24
黑 25
黑 3
黑 4
黑 5
黑 6
黑 7
黑 8
黑 9
黑 A
黑 &
黑 、
黑 水瓶座
黑 牡羊座
黑 箭頭向下
黑 箭頭向左
黑 箭頭向左下
黑 箭頭向左上
黑 箭頭向右
黑 箭頭向右下
黑 箭頭向右上
黑 箭頭向上
黑 B
黑 ＼
黑 倒退
黑 倒退 II
黑 空白
黑 ）
黑 （
黑 C
黑 巨蟹座
黑 摩羯座
黑 ✓
黑 ：
黑 ，
黑 ｝
黑 ｛
黑 D
黑 ＄
黑 E
黑 ＝
黑 ！
黑 F
黑 ♀️
黑 向前
黑 向前 II
黑 G
黑 雙子座
黑 H
黑 ❤
黑 I
黑 J
黑 K
黑 L
黑 獅子座
黑 天秤座
黑 M
黑 ♂
黑 －
黑 N
黑 🎵
黑 O
黑 #
黑 蛇夫座
黑 P
黑 暫停
黑 ％
黑 。
黑 雙魚座
黑 ＋
黑 Q
黑 ？
黑 ＂
黑 R
黑 刷新
黑 向後 ！
黑 向後 ？
黑 S
黑 射手座
黑 天蠍座
黑 ；
黑 ／
黑 ］
黑 ［
黑 T
黑 金牛座
黑 U
黑 ＿
黑 V
黑 處女座
黑 W
黑 X
黑 Y
黑 Z
黑 Ä
黑 Ñ
黑 Ö
黑 Ü
黑 Ё
黑 Б
黑 Г
黑 Д
黑 Ж
黑 З
黑 И
黑 Й
黑 Л
黑 П
黑 У
黑 Ф
黑 Ц
黑 Ч
黑 Ш
黑 Щ
黑 Ъ
黑 Ы
黑 Ь
黑 Э
黑 Ю
黑 Я
血漬 0
血漬 1
血漬 2
血漬 3
血漬 4
血漬 5
血漬 6
血漬 7
血漬 8
血漬 9
血漬 A
血漬 B
血漬 ＼
血漬 空白
血漬 C
血漬 ：
血漬 D
血漬 向下箭頭
血漬 E
血漬 ！
血漬 F
血漬 ／
血漬 G
血漬 H
血漬 I
血漬 J
血漬 K
血漬 L
血漬 向左箭頭
血漬 M
血漬 N
血漬 O
血漬 P
血漬 。
血漬 Q
血漬 ？
血漬 R
血漬 向右箭頭
血漬 S
血漬 T
血漬 U
血漬 向上箭頭
血漬 V
血漬 W
血漬 X
血漬 Y
血漬 Z
藍 0
藍 1
藍 10
藍 11
藍 12
藍 13
藍 14
藍 15
藍 16
藍 17
藍 18
藍 19
藍 2
藍 20
藍 21
藍 22
藍 23
藍 24
藍 25
藍 3
藍 4
藍 5
藍 6
藍 7
藍 8
藍 9
藍 A
藍 &
藍 、
藍 水瓶座
藍 牡羊座
藍 箭頭向下
藍 箭頭向左
藍 箭頭向左下
藍 箭頭向左上
藍 箭頭向右
藍 箭頭向右下
藍 箭頭向右上
藍 箭頭向上
藍 B
藍 ＼
藍 倒退
藍 倒退 II
藍 空白
藍 C
藍 巨蟹座
藍 摩羯座
藍 ✓
藍 ：
藍 ，
藍 ｝
藍 ｛
藍 D
藍 ＄
藍 E
藍 ＝
藍 ！
藍 F
藍 ♀️
藍 向前
藍 向前 II
藍 G
藍 雙子座
藍 H
藍 ❤
藍 I
藍 J
藍 K
藍 L
藍 獅子座
藍 天秤座
藍 M
藍 ♂
藍 －
藍 N
藍 🎵
藍 O
藍 #
藍 P
藍 暫停
藍 ％
藍 。
藍 雙魚座
藍 ＋
藍 Q
藍 ？
藍 ＂
藍 R
藍 刷新
藍 向後 ！
藍 向後 ？
藍 ｝
藍 （
藍 S
藍 射手座
藍 天蠍座
藍 ；
藍 ／
藍 ］
藍 ［
藍 T
藍 金牛座
藍 U
藍 ＿
藍 V
藍 處女座
藍 W
藍 X
藍 Y
藍 Z
藍 Á
藍 Ä
藍 Ç
藍 É
藍 Í
藍 Ñ
藍 Ó
藍 Ö
藍 Ú
藍 Ü
藍 Ё
藍 Б
藍 Г
藍 Д
藍 Ж
藍 З
藍 И
藍 Й
藍 Л
藍 П
藍 У
藍 Ф
藍 Ц
藍 Ч
藍 Ш
藍 Щ
藍 Ъ
藍 Ы
藍 Ь
藍 Э
藍 Ю
藍 Я
盲字 #
盲字 A
盲字 B
盲字 C
盲字 ，
盲字 D
盲字 ─
盲字 E
盲字 ！
盲字 F
盲字 G
盲字 H
盲字 I
盲字 J
盲字 K
盲字 L
盲字 M
盲字 N
盲字 O
盲字 P
盲字 。
盲字 Q
盲字 ？
盲字 R
盲字 S
盲字 空的
盲字 T
盲字 U
盲字 V
盲字 W
盲字 X
盲字 Y
盲字 Z
棕 0
棕 1
棕 10
棕 11
棕 12
棕 13
棕 14
棕 15
棕 16
棕 17
棕 18
棕 19
棕 2
棕 20
棕 21
棕 22
棕 23
棕 24
棕 25
棕 3
棕 4
棕 5
棕 6
棕 7
棕 8
棕 9
棕 A
棕 &
棕 、
棕 水瓶座
棕 牡羊座
棕 箭頭向下
棕 箭頭向左
棕 箭頭向左下
棕 箭頭向左上
棕 箭頭向右
棕 箭頭向右下
棕 箭頭向右上
棕 箭頭向上
棕 B
棕 ＼
棕 倒退
棕 倒退 II
棕 空白
棕 C
棕 巨蟹座
棕 摩羯座
棕 ✓
棕 ：
棕 ，
棕 ｝
棕 ｛
棕 D
棕 ＄
棕 E
棕 ＝
棕 ！
棕 F
棕 ♀️
棕 向前
棕 向前 II
棕 G
棕 雙子座
棕 H
棕 ❤
棕 I
棕 J
棕 K
棕 L
棕 獅子座
棕 天秤座
棕 M
棕 ♂
棕 －
棕 N
棕 🎵
棕 O
棕 #
棕 P
棕 暫停
棕 ％
棕 。
棕 雙魚座
棕 ＋
棕 Q
棕 ？
棕 ＂
棕 R
棕 刷新
棕 向後 ！
棕 向後 ？
棕 ｝
棕 （
棕 S
棕 射手座
棕 天蠍座
棕 ；
棕 ／
棕 ］
棕 ［
棕 T
棕 金牛座
棕 U
棕 ＿
棕 V
棕 處女座
棕 W
棕 X
棕 Y
棕 Z
棕 Ä
棕 Ñ
棕 Ö
棕 Ü
棕 Ё
棕 Б
棕 Г
棕 Д
棕 Ж
棕 З
棕 И
棕 Й
棕 Л
棕 П
棕 У
棕 Ф
棕 Ц
棕 Ч
棕 Ш
棕 Щ
棕 Ъ
棕 Ы
棕 Ь
棕 Э
棕 Ю
棕 Я
對話 0
對話 1
對話 2
對話 3
對話 4
對話 5
對話 6
對話 7
對話 8
對話 9
對話 @
對話 A (小寫)
對話 A (大寫)
對話 &
對話 、
對話 箭頭向下
對話 箭頭向左
對話 箭頭向左下
對話 箭頭向左上
對話 箭頭向右
對話 箭頭向右下
對話 箭頭向右上
對話 箭頭向上
對話 B (小寫)
對話 B (大寫)
對話 ＼
對話 C (小寫)
對話 C (大寫)
對話 ✓
對話 ，
對話 ｝
對話 ｛
對話 D (小寫)
對話 D (大寫)
對話 ＄
對話 E (小寫)
對話 E (大寫)
對話 ＝
對話 ！
